"effect","group","term","estimate","std.error","statistic","df","p.value","conf.low","conf.high","iv","dv","dframe"
"ran_pars","Residual","sd__Observation",0.582847274902864,NA,NA,NA,NA,NA,NA,"mo_ep_sd_angle_mean","valence","1000"
"fixed",NA,"(Intercept)",-0.0250807773231874,0.0587441479030042,-0.42694937655066,169.149026661989,0.669959139321694,-0.141046889171319,0.0908853345249439,"mo_ep_mean_angle_sd","valence","1000"
"fixed",NA,"mo_ep_mean_angle_sd_within",-0.00722490563501509,0.00682881620179642,-1.05800264958288,10564.3694123847,0.290078425308935,-0.0206106730581722,0.00616086178814201,"mo_ep_mean_angle_sd","valence","1000"
"fixed",NA,"mo_ep_mean_angle_sd_between",-0.398443170900942,0.106476519508775,-3.74207546169937,168.48571662205,0.00025002227959039,-0.608643142719791,-0.188243199082092,"mo_ep_mean_angle_sd","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.75357987252223,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_sd","valence","1000"
"ran_pars","Residual","sd__Observation",0.582837080986691,NA,NA,NA,NA,NA,NA,"mo_ep_mean_angle_sd","valence","1000"
"fixed",NA,"(Intercept)",-0.0610996235801827,0.0608721119806059,-1.00373753418724,169.706458880519,0.316934162979606,-0.181263679687437,0.0590644325270718,"mo_ep_sd_x_flips","valence","1000"
"fixed",NA,"mo_ep_sd_x_flips_within",-0.00794275317603437,0.00687557711674317,-1.15521257942005,10564.8027843099,0.248029511040064,-0.0214201807465565,0.00553467439448772,"mo_ep_sd_x_flips","valence","1000"
"fixed",NA,"mo_ep_sd_x_flips_between",0.119003644074326,0.119775899072902,0.993552500924196,170.2176130662,0.321851054092837,-0.117433814929254,0.355441103077907,"mo_ep_sd_x_flips","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.782646360296109,NA,NA,NA,NA,NA,NA,"mo_ep_sd_x_flips","valence","1000"
"ran_pars","Residual","sd__Observation",0.582824983253752,NA,NA,NA,NA,NA,NA,"mo_ep_sd_x_flips","valence","1000"
"fixed",NA,"(Intercept)",-0.0474042145500463,0.0608074802482703,-0.779578669540328,169.523870182723,0.436725907911414,-0.167441613419299,0.0726331843192061,"mo_ep_mean_y_flips","valence","1000"
"fixed",NA,"mo_ep_mean_y_flips_within",-0.00350445308614342,0.00731998694488562,-0.478751275450285,10564.6792333058,0.632125491222091,-0.0178530077345694,0.0108441015622826,"mo_ep_mean_y_flips","valence","1000"
"fixed",NA,"mo_ep_mean_y_flips_between",-0.0949776792870473,0.09610571324677,-0.988262571270594,169.147527392898,0.324435639028527,-0.284698817497941,0.0947434589238468,"mo_ep_mean_y_flips","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.782525749356117,NA,NA,NA,NA,NA,NA,"mo_ep_mean_y_flips","valence","1000"
"ran_pars","Residual","sd__Observation",0.582857184729621,NA,NA,NA,NA,NA,NA,"mo_ep_mean_y_flips","valence","1000"
"fixed",NA,"(Intercept)",-0.0572776157054387,0.0604195033483986,-0.947998784021068,169.742822578796,0.344477749137898,-0.176548020240786,0.0619927888299088,"movement_distance","valence","1000"
"fixed",NA,"movement_distance_within",-0.00723689635684318,0.00629869920297022,-1.14895093790644,10564.8001924365,0.250602222993193,-0.019583534443732,0.00510974173004567,"movement_distance","valence","1000"
"fixed",NA,"movement_distance_between",0.154227423105948,0.125976197135739,1.22425844415488,169.987164812957,0.222548774747608,-0.0944518294131655,0.402906675625062,"movement_distance","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.7814582104831,NA,NA,NA,NA,NA,NA,"movement_distance","valence","1000"
"ran_pars","Residual","sd__Observation",0.582825417069191,NA,NA,NA,NA,NA,NA,"movement_distance","valence","1000"
"fixed",NA,"(Intercept)",-0.0192820529988334,0.0631433906311021,-0.305369300034639,169.847607618091,0.760458814024865,-0.143928962823571,0.105364856825904,"lockscreen_episodes.","valence","1000"
"fixed",NA,"lockscreen_episodes._within",-0.0246372995722986,0.0102875062160497,-2.39487578961184,10564.7887070736,0.0166433070661906,-0.0448027515154729,-0.00447184762912434,"lockscreen_episodes.","valence","1000"
"fixed",NA,"lockscreen_episodes._between",-0.38165993571897,0.214202084020838,-1.78177508152461,171.258133500954,0.0765579917545462,-0.804476160587306,0.0411562891493672,"lockscreen_episodes.","valence","1000"
"ran_pars","ID","sd__(Intercept)",0.777600852730367,NA,NA,NA,NA,NA,NA,"lockscreen_episodes.","valence","1000"
