"Component","Parameter","Std_Coefficient","CI","CI_low","CI_high","iv","dv","dframe"
"between","mo_ep_mean_speed_sd_between",-0.263984756390247,0.95,-0.410284907032012,-0.117684605748482,"mo_ep_mean_speed_sd","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"within","mo_ep_sd_abs_jerk_sd_within",-0.0136769494304613,0.95,-0.032594950304166,0.00524105144324346,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"between","mo_ep_sd_abs_jerk_sd_between",-0.153627725534686,0.95,-0.303473450472854,-0.00378200059651844,"mo_ep_sd_abs_jerk_sd","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_mean","arousal","3000"
"within","mo_ep_mean_angle_mean_within",-0.0091219827620106,0.95,-0.0280412229749117,0.00979725745089047,"mo_ep_mean_angle_mean","arousal","3000"
"between","mo_ep_mean_angle_mean_between",-0.248836185716935,0.95,-0.395671092626411,-0.10200127880746,"mo_ep_mean_angle_mean","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_sd_angle_mean","arousal","3000"
"within","mo_ep_sd_angle_mean_within",0.000475752083059984,0.95,-0.0184440885071119,0.0193955926732319,"mo_ep_sd_angle_mean","arousal","3000"
"between","mo_ep_sd_angle_mean_between",-0.156520724028613,0.95,-0.306329954060171,-0.00671149399705615,"mo_ep_sd_angle_mean","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_angle_sd","arousal","3000"
"within","mo_ep_mean_angle_sd_within",-0.0207556995679247,0.95,-0.0396715759325818,-0.00183982320326756,"mo_ep_mean_angle_sd","arousal","3000"
"between","mo_ep_mean_angle_sd_between",-0.228384534846423,0.95,-0.375934094938601,-0.0808349747542454,"mo_ep_mean_angle_sd","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"mo_ep_mean_y_flips","arousal","3000"
"within","mo_ep_mean_y_flips_within",-0.00319777283444289,0.95,-0.0221174618517399,0.0157219161828541,"mo_ep_mean_y_flips","arousal","3000"
"between","mo_ep_mean_y_flips_between",0.000859026103935901,0.95,-0.150853817118051,0.152571869325923,"mo_ep_mean_y_flips","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"movement_distance","arousal","3000"
"within","movement_distance_within",-0.00350277241327909,0.95,-0.0224224156660702,0.015416870839512,"movement_distance","arousal","3000"
"between","movement_distance_between",0.0725966550261181,0.95,-0.0789085228139886,0.224101832866225,"movement_distance","arousal","3000"
"rewb-contextual","(Intercept)",0,0.95,0,0,"no_movement","arousal","3000"
"within","no_movement_within",-0.00667754099559035,0.95,-0.0255967756639111,0.0122416936727304,"no_movement","arousal","3000"
